session_id,run_label,marker_or_entity,normalized_marker_name,body_region_group,side,attached_bone,attached_bone_canonical,joint_family,adjacent_joint_family,mapping_source,mapping_confidence,mapping_version,template_mapping_status,n_events,n_frames_affected,gap_0p5_frames,gap_0p2_frames,artifact_sigma_frames,segment_swap_frames,severity_summary,recommendation_impact,notes
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:ChestLow,ChestLow,torso_chest_back,,671_Chest,Chest,trunk_chest,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,3,3,0,0,0,0,moderate,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:ChestTop,ChestTop,torso_chest_back,,671_Chest,Chest,trunk_chest,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,0,0,0,minor,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LFArm,LFArm,shoulder_upper_arm,,671_LFArm,LFArm,left_elbow_forearm,left_wrist_hand,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,3,3,0,0,0,0,severe,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:LShoulderTop,LShoulderTop,shoulder_upper_arm,,671_LShoulder,LShoulder,left_shoulder_arm,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,0,0,0,moderate,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,671:RShoulderTop,RShoulderTop,shoulder_upper_arm,,671_RShoulder,RShoulder,right_shoulder_arm,,session_datadescriptions_optional,attached_bone_observed_but_template_unverified,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,0,0,0,moderate,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,LHandIn__LWristOut,LHandIn__LWristOut,wrist_hand,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,1,20,0,0,0,0,moderate,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,15992-16026,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,1,35,0,0,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16000,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16001,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16002,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16003,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16004,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16005,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16006,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16007,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16008,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16009,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16010,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16011,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16012,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16013,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16014,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16015,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16016,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16017,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16018,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16019,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16020,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16021,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16022,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16023,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16024,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16025,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16026,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16131,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,0,1,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16131-16131,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,1,1,0,0,1,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16133,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16133-16169,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,1,37,0,0,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16134,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16135,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16136,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16137,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16138,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16139,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16140,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16141,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16142,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16143,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16144,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16145,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16146,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16147,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16148,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16149,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16150,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16151,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16152,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16153,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16154,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16155,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16156,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16157,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16158,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16159,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16160,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16161,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16162,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16163,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16164,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16165,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16166,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16167,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16168,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16169,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16280,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,0,1,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16280-16280,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,1,1,0,0,1,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16291,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16291-16309,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,1,19,0,0,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16292,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16293,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16294,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16295,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16296,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16297,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16298,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16299,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16300,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16301,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16302,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16303,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16304,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16305,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16306,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16307,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16308,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16309,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,2,2,0,1,0,0,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16310,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,3,3,0,1,0,1,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16310-16328,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,1,19,0,0,0,1,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16311,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,3,3,0,1,0,1,caution,regional_risk_overlay,
671_T1_P1_R1,671_T1_P1_R1_Take_2026-01-06_03.57.12_PM_001,,16312,,,,,unknown,,unmapped,unmapped,session_datadescriptions_unverified_v0,session_datadescriptions_used_unverified,3,3,0,1,0,1,caution,regional_risk_overlay,
