link_id,parent_canonical,child_canonical,feature_scope,stage08_policy,stage07_jump_status,stage07_branch_cut_status,total_frames,filter_applied_frames,jump_event_frames,jump_context_frames,analysis_eligible_frames,stage08_filter_status,cutoff_hz,filter_order,sampling_rate_hz,min_filtfilt_length
J002,671,Ab,review_provisional,manual_review_required,pass,pass,30235,30235,0,0,0,provisional_manual_review,10.0,4,120.00480019200238,10
J003,Ab,Chest,review_provisional,manual_review_required,pass,pass,30235,30235,0,0,0,provisional_manual_review,10.0,4,120.00480019200238,10
J004,Neck,Head,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J005,LUArm,LFArm,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J006,LShin,LFoot,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J007,LFArm,LHand,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J008,LHand,LIndex1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J009,LIndex1,LIndex2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J010,LIndex2,LIndex3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J011,LHand,LMiddle1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J012,LMiddle1,LMiddle2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J013,LMiddle2,LMiddle3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J014,LHand,LPinky1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J015,LPinky1,LPinky2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J016,LPinky2,LPinky3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J017,LHand,LRing1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J018,LRing1,LRing2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J019,LRing2,LRing3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J020,LThigh,LShin,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J021,Chest,LShoulder,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J022,671,LThigh,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J023,LHand,LThumb1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J024,LThumb1,LThumb2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J025,LThumb2,LThumb3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J026,LFoot,LToe,excluded_toe,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J027,LShoulder,LUArm,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J028,Chest,Neck,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J029,RUArm,RFArm,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J030,RShin,RFoot,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J031,RFArm,RHand,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J032,RHand,RIndex1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J033,RIndex1,RIndex2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J034,RIndex2,RIndex3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J035,RHand,RMiddle1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J036,RMiddle1,RMiddle2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J037,RMiddle2,RMiddle3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J038,RHand,RPinky1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J039,RPinky1,RPinky2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J040,RPinky2,RPinky3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J041,RHand,RRing1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J042,RRing1,RRing2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J043,RRing2,RRing3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J044,RThigh,RShin,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J045,Chest,RShoulder,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J046,671,RThigh,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
J047,RHand,RThumb1,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J048,RThumb1,RThumb2,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J049,RThumb2,RThumb3,excluded_distal,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J050,RFoot,RToe,excluded_toe,excluded_from_analysis,pass,pass,30235,30235,0,0,0,excluded_from_analysis,10.0,4,120.00480019200238,10
J051,RShoulder,RUArm,core_candidate,allow_filter,pass,pass,30235,30235,0,0,30235,pass,10.0,4,120.00480019200238,10
