link_id,finite_raw_frames,filter_applied_frames,native_finite_filtered_frames,analysis_finite_filtered_frames,jump_context_frames,analysis_eligible_frames,stage08_filter_status
J001,31392,31392,31392,0,0,0,provisional_manual_review
J002,31392,31392,31392,0,0,0,provisional_manual_review
J003,31392,31392,31392,31392,0,31392,pass
J004,31392,31392,31392,31392,0,31392,pass
J005,31392,31392,31392,31392,0,31392,pass
J006,31392,31392,31392,31331,61,31331,filtered_but_jump_context_masked
J007,31392,31392,31392,0,61,0,excluded_from_analysis
J008,31392,31392,31392,0,61,0,excluded_from_analysis
J009,31392,31392,31392,0,0,0,excluded_from_analysis
J010,31392,31392,31392,0,0,0,excluded_from_analysis
J011,31392,31392,31392,0,61,0,excluded_from_analysis
J012,31392,31392,31392,0,0,0,excluded_from_analysis
J013,31392,31392,31392,0,122,0,excluded_from_analysis
J014,31392,31392,31392,0,0,0,excluded_from_analysis
J015,31392,31392,31392,0,0,0,excluded_from_analysis
J016,31392,31392,31392,0,0,0,excluded_from_analysis
J017,31392,31392,31392,0,0,0,excluded_from_analysis
J018,31392,31392,31392,0,0,0,excluded_from_analysis
J019,31392,31392,31392,31392,0,31392,pass
J020,31392,31392,31392,31392,0,31392,pass
J021,31392,31392,31392,31392,0,31392,pass
J022,31392,31392,31392,0,61,0,excluded_from_analysis
J023,31392,31392,31392,0,0,0,excluded_from_analysis
J024,31392,31392,31392,0,0,0,excluded_from_analysis
J025,31392,31392,31392,0,0,0,excluded_from_analysis
J026,31392,31392,31392,31392,0,31392,pass
J027,31392,31392,31392,31392,0,31392,pass
J028,31392,31392,31392,0,0,0,provisional_manual_review
J029,31392,31392,31392,31392,0,31392,pass
J030,31392,31392,31392,31392,0,31392,pass
J031,31392,31392,31392,31392,0,31392,pass
J032,31392,31392,31392,0,61,0,excluded_from_analysis
J033,31392,31392,31392,0,61,0,excluded_from_analysis
J034,31392,31392,31392,0,0,0,excluded_from_analysis
J035,31392,31392,31392,0,0,0,excluded_from_analysis
J036,31392,31392,31392,0,0,0,excluded_from_analysis
J037,31392,31392,31392,0,0,0,excluded_from_analysis
J038,31392,31392,31392,0,0,0,excluded_from_analysis
J039,31392,31392,31392,0,0,0,excluded_from_analysis
J040,31392,31392,31392,0,0,0,excluded_from_analysis
J041,31392,31392,31392,0,0,0,excluded_from_analysis
J042,31392,31392,31392,0,0,0,excluded_from_analysis
J043,31392,31392,31392,0,0,0,excluded_from_analysis
J044,31392,31392,31392,31392,0,31392,pass
J045,31392,31392,31392,31392,0,31392,pass
J046,31392,31392,31392,31392,0,31392,pass
J047,31392,31392,31392,0,0,0,excluded_from_analysis
J048,31392,31392,31392,0,0,0,excluded_from_analysis
J049,31392,31392,31392,0,0,0,excluded_from_analysis
J050,31392,31392,31392,0,0,0,excluded_from_analysis
J051,31392,31392,31392,31392,0,31392,pass
J052,31392,31392,31392,0,0,0,provisional_manual_review
J053,31392,31392,31392,0,0,0,provisional_manual_review
J054,31392,31392,31392,0,0,0,provisional_manual_review
